,bbl,landuse,bldgclass,address,numbldgs,numfloors,footprints_floors,heightroof,floor_height,differential,geom
101,3001720024,05,H2,300 SCHERMERHORN STREET,1,14.0,6.084,73.0038447,12,7.916,0106000020D7080000010000000103000000010000000F0000000008B986D32F2E41000E157E9C28074180C4B1A8852F2E4100D4A4C9442607418086B37E822F2E4100185E514B260741009D13975E2F2E4100B8D4669526074100BF34FA332F2E4100E8F853ED26074100F8FE06062F2E4100BEE3244C27074180AB33C9DA2E2E4100F0F45DA5270741802159EEAD2E2E410006AFEB0128074180911523C02E2E41007AB1208E28074180213304922E2E410052D0E0EA2807410041823E6A2E2E4100C411DC3A2907418059CAF5492E2E4100F28CC87B290741005CDE55552E2E4100E4B763D32907410048F463852E2E4100C80F7D452B07410008B986D32F2E41000E157E9C280741
102,3010860001,08,I1,269 7 AVENUE,1,5.0,11.783,141.39,12,6.783,0106000020D7080000010000000103000000010000000500000080D7F8306B392E4100AACCA79B4606410008052993382E410072E0D84541064100A91524EF332E41003E82180D4D0641800B267AC4342E41005053AE5552064180D7F8306B392E4100AACCA79B460641
104,3011830026,08,P7,186 EASTERN PARKWAY,1,5.0,13.678,164.13,12,8.678,0106000020D7080000010000000103000000010000001F00000080ACE2550F5B2E41000CCF83015E0641009E328EC25A2E410034C1F8C15D0641001E08F4765A2E41006402C1935D06418096CD7E4E5A2E4100248E32A35D0641809C6070265A2E4100782CAEBE5D0641000DB301FF592E4100C8380CE65D064180C2606BD8592E41003AEE14195E0641009EC84EDA582E410096E7D4935F064180C643CCD8582E4100189A83955F064100BDCF3CD7582E4100747C1F965F064100B1AFACD5582E4100922EA3955F064180D1FB27D4582E41008A1014945F0641004CA1BAD2582E410084E27C915F0641004B8B6FD1582E4100CECCF18D5F064180F5CD50D0582E4100D8078F895F0641006DFA66CF582E41001E2C76845F064180CD74B9CE582E410040DECE7E5F064100DC9F497C582E410016A9D0125C0641806A85273B572E4100A44AD7BE5C064100BB89AB0F562E41004AEFC6815E064100A8B58003562E41003C02A8A45E0641003A8BAFF9542E410060F6A89E61064180BB129CDC542E41007C1F4C7F620641009278C154552E4100845A5935690641008AC15494552E4100C41773C26C06410003F7A768562E41009A6E57DE77064100F0FB278B572E410058BD361A76064100DE8A2B97582E4100925296CC74064180318C7C92592E410042CC18DB73064180F12193465A2E41000664DA3C73064180ACE2550F5B2E41000CCF83015E0641
105,3013420042,02,C1,1740 PACIFIC STREET,1,4.5,10.027,120.32,12,5.527,0106000020D7080000010000000103000000010000000B0000000020920A719F2E41008A312E0DAD06410006D1E96D9F2E410034C31665AC06418056CB266B9F2E41001261B1D0AB064100547490689F2E41007A37BE45AB0641807B0805669F2E41007C7E03BDAA064180D83345639F2E4100EEC64829AA0641004998CC609F2E410024957CA4A9064100B810B13B9F2E4100D24500AFA906410032DFEC2F9F2E4100BA4656B2A9064100035629409F2E41008E42E21AAD06410020920A719F2E41008A312E0DAD0641
106,3020117501,04,RM,525 CLINTON AVENUE,1,13.0,6.48,77.76014686,12,6.52,0106000020D70800000100000001030000000100000008000000804E713FDD522E4100D062EC62EF064100F5C5C5FB512E410072F12ADCEE0641002522DCD6512E410044061FA5F2064100817918D7522E4100C23A433EF306410078C191D6522E41003484134CF3064100BCB275E0522E410012ABFC51F306418094E3E505532E4100CEA0377BEF0641804E713FDD522E4100D062EC62EF0641
108,3020980013,08,W1,29 FT GREENE PLACE,1,8.0,19.118,229.41,12,11.118,0106000020D708000001000000010300000001000000060000008039DA7C9D3D2E4100D07D21D8310741001B4078D73C2E41005671E85A310741800BF6B0103C2E4100021B35DD300741003527A9663B2E4100981803704207418050364BFE3C2E4100645B9E114207418039DA7C9D3D2E4100D07D21D8310741
109,3024077503,04,RM,190 SOUTH 1 STREET,1,4.0,10.333,124.0,12,6.333,0106000020D7080000010000000103000000010000000F00000080B0D10722612E41001AAD9B954C084180EFE1F4C9602E4100989C38B14908410009361CA0602E410060ED10024A084180245FAF8A602E410086B1752B4A0841806BB75750602E410098B92B9C4A08418026CEF746602E4100AC9B48AE4A08410003149C5B602E4100028FCD5B4B084100B655F814602E4100BECF76E44B084180DC2BCF25602E4100688304724C08410009522336602E4100704A46FB4C08410096ABB2B95F2E4100E0A905EC4D0841004A6BFFDB5F2E410076895D0C4F084100084F139F602E41005041F6924D084180F581C6E2602E4100925EFC0F4D084180B0D10722612E41001AAD9B954C0841
111,3024570028,08,P9,175 BROADWAY,1,4.0,10.119,121.43074326,12,6.119,0106000020D70800000100000001030000000100000006000000003DF221515B2E4100FEF2B98B2D08410018E43FFA5A2E410020D2A2942A084180FBD2D2105A2E41000EC8E3382C08410027E7A15D5A2E41006440F6D72E08410021E1B4675A2E4100EEE8FA2F2F0841003DF221515B2E4100FEF2B98B2D0841
114,3047180001,08,I1,1275 LINDEN BOULEVARD,1,6.0,16.62,199.43846495,12,10.62,0106000020D708000001000000010300000001000000080000008091EEA551C72E41001EF16983BC054100E9FBEAC8C92E4100A6CFE9B1B0054180F951F2A3C72E410078ABFC59B00541807A786069C52E41000E7FE8B9BA054180CAB7E125C62E410066F04A3CBD0541809109DCE9C52E4100823B5857BE05418005923F83C62E4100DAB90E62C005418091EEA551C72E41001EF16983BC0541
124,4002770001,05,O5,30-30 THOMSON AVENUE,1,5.0,12.773,153.28,12,7.773,0106000020D70800000100000001030000000100000005000000809DC19EF9942E4100929B21DFB60941803E045F45942E4100C605F52FA4094180594510B6922E4100EEA1FD23A50941002297EF6A932E410016D0A1DEB70941809DC19EF9942E4100929B21DFB60941
130,4099940031,05,H3,90-75 SUTPHIN BOULEVARD,1,19.0,6.721,80.65,12,12.279,0106000020D7080000010000000103000000010000000D0000008080CA57ACAB2F41006E1B1637C6074100C57475E7AA2F41003A3645ADC5074100E8FA78EEAA2F410074ACA00EC5074180CF232B27AA2F4100B0B81D83C4074100B68FCA14AA2F4100CACCC222C607418025A537DDAA2F410096A70EAFC6074100B583E6D6AA2F41005C54EE3DC70741802C5AD1D0AA2F41009EBC80C7C7074180E06D05CAAA2F410050BF3661C8074180A69704C4AA2F4100A894FFE8C80741809CEF5ABFAA2F4100AEC87552C9074100BD308882AB2F410042F514DBC907418080CA57ACAB2F41006E1B1637C60741
