"bbl","irrlotcode","lotarea","lotfront","lotdepth","front_depth_product","pluto_shape_area","geom"
"5005790116.0","N",77579,"0","0","0","77579.2764507736","0106000020D7080000010000000103000000020000006200000000E9D4431A512D4100F289EA34BA044100CA40513B512D4100144D45CCB904418034634D3F512D41004285E0BEB9044180C6C89543512D4100D85C4BB0B9044180D4E57947512D4100E830DFA2B9044180F8DF4C50512D4100AEB8CB83B90441808F9E575C512D4100EC52EB57B904410001B72579512D410036548FE7B8044180AF83B894512D41008EF50271B8044180C37F62A8512D41002619E414B8044180F08626AF512D41007240A0F3B70441806E989BC8512D41002E507576B704418023E0ABE3512D41005E4165F1B6044180546746FC512D410058B56C78B6044100464E6617522D41005C610FF3B504410092FD9431522D410050A75472B50441803DA2D34A522D41001ACF35F6B404410048084EBC522D4100B8A1376FB60441802030E2BF522D4100A41D9F5DB6044180D10E53D7522D4100BAFF5DEAB5044180D1808DED522D4100E624147DB5044180F7CA5E05532D4100DAABFA07B50441009098F119532D410078BCD1A2B40441002F941B31532D4100D603EE30B404418070940853532D41007C7E208AB30441006051903D532D410030957C43B3044180071C70E8522D410072BBF215B4044180D78FD2C7522D41002212BB43B3044100E8300DBF522D410068B3320BB3044180ABE0C636522D4100F4B61F5CB4044180F1341A20522D41008629FAC9B3044180ACC58B09522D41000ECF9838B3044100725311F5512D410066909BB4B20441801D4B76DD512D4100C003761CB20441807FC75DC8512D4100B6D17E94B1044100743A6BB3512D410058DB7A0DB1044100E68BD29D512D4100D48C4A82B00441805F547587512D41001EA723F2AF044100C9A51C72512D4100CC368D68AF044180253D3C5C512D410048498DDBAE0441008B48EB47512D4100AC229C58AE044100FFB2F326512D410094F01F84AD044100DFFD1934512D4100CCEE9C63AD0441009FE7C9E7502D4100CC73BF77AB0441005A554E70502D4100DCB484ACAD044100D284C2DD502D41003E9AFA6DB0044180BB56ABDB502D4100367C6B6CB004418031CF3CDA502D410090447A6BB004410094ACC0D7502D4100F80A086AB004410092C421D4502D410074AC5868B00441004256EACF502D410042530167B004410030EAF3C9502D41004ECC3D66B004410024C149C5502D410094C99166B00441804EE3EFC0502D410094859A67B00441000384EABA502D4100AC67366AB00441805CEDDEB6502D41007275BD6CB0044180FE5528B3502D41009A389F6FB0044100F2017EAE502D4100B00D0A74B00441004A7C10AE502D410058937774B00441801690AFAB502D410082291877B004410068B1AAA8502D4100BAD7C47AB0044180419044A5502D41008EB9607FB00441001CDA93A0502D410074799686B0044180B7D8D29B502D4100CE31F38EB0044100DCEAB096502D4100AA754099B0044100F178378F502D4100C8A9DBAAB0044100FF4B8B89502D41006AAA87BAB00441803CABBA85502D4100244C59C6B0044180D8B8EA6F502D4100A291D506B104410035586355502D410012B94355B104418005159536502D41006E7D56B0B1044100D6734217502D4100B24FF00CB2044180673275FA4F2D410022911662B204410057EE3BDD4F2D410064FB7BB8B2044100854224C24F2D410040884707B304410058EF0FC14F2D4100E4B2070AB3044100A999F8A44F2D4100D6D39C51B30441000158C0844F2D41008255B8A3B3044100258212584F2D4100FEA59215B4044180128ED41B4F2D4100C4F34A91B20441809ECE97A54E2D4100D68A5908B4044180A8A842844E2D4100E6471472B40441804A4B2CB24E2D41002C051F88B40441002398ABE84E2D410092F6B4B9B30441808F63D6364F2D4100A6FFDABCB50441000159BF6D4F2D4100D0A8A633B50441008239DC8B4F2D4100B08967E8B4044100A01175AC4F2D41009002F496B404410009FF82C94F2D4100AC2D5A4EB4044100BA9ABDE94F2D410018D2D1FDB30441800C4EDB27502D410022E4748EB5044180F684E019502D4100486763B1B504410082450340502D4100803203A0B60441808E3CAC6A502D410044EFF2AAB704418034BAAD93502D4100FAA388ABB804418021293DBC502D4100E87155A9B9044100A5F791E8502D41001E6BB9BEBA044100E9D4431A512D4100F289EA34BA04411700000000752BC306512D4100388302B9B6044100EF331BEF502D4100E004641FB6044100FC66B3DA502D4100BC9FD39CB50441002FC274C2502D4100BC4A7400B50441809EC55FAD502D4100AA147B78B4044180E63C2F96502D4100F801E8E2B3044180414F0C80502D410098892254B30441809BED1968502D41000660AEB9B204410018E5EEA3502D4100FA9E9926B20441004C7BA8DE502D410078503E96B10441002DBD89E3502D41004442B9B5B1044100F1B19AF6502D410008CEB130B2044100969FBD0C512D41006C9E78BFB20441004F53EE23512D41001A590A55B3044180DF4F0339512D41002E3B04DDB3044100ACC94151512D41002AE46279B40441809E96A965512D41005049F3FBB4044180248E517D512D4100AC1F9395B5044180373C548C512D41003C5E63F6B504418054EAEB95512D41009ABD4134B604410022AA325B512D41001C0C9DC4B6044100A45C5D1F512D410028CDB157B7044100752BC306512D4100388302B9B60441"
"5008350230.0","N",15478,"109","142","15478","15144.0658051865","0106000020D7080000010000000103000000010000000D00000000578C757B402D41000E00523A720341005F275768402D4100D6B4B31A700341000E278160402D41005041E6EB6E034100C9AE5409402D4100C82105296F0341007D4A7700402D4100D28D3B2F6F0341001F09EC01402D4100FEB6D2566F03418066A8E1B93F2D4100680A55896F0341003012BC6A3F2D410018A9D2C06F034100F29A3B203F2D4100321B0FF56F03418070D7B0393F2D4100DEA3A445720341801004F8983F2D4100AC238F4472034100B0637D9C3F2D4100F8713CA372034100578C757B402D41000E00523A720341"
"5024507512.0","N",262527,"0","0","0","253205.561070275","0106000020D7080000010000000103000000010000001300000080E3D506BFB82C4100AA7D8DC55F02418041C057D9B72C4100781FBD355B0241805C7ABD5EB82C41004478B95258024100E574AE59B62C4100AAE6647D52024180722A4849B62C41006A87074E520241805077C518B52C410010F40533590241805195E5D7B42C4100244FA77758024180435E2E76B42C41006E7208AE5A02410096F47B9BB42C41004233C5195B024180BA70B773B42C4100101746005C0241000CE9E4D9B42C4100CA2460275D02418044CA203FB42C410046F3A87360024100FD7D1BF0B42C41008210BE676302410063B8A00FB62C4100EAAF8FA568024100BDA29225B72C41009A06B01C6D0241005409BAB6B72C4100A45E08A66A024180350916D6B62C41002A373914670241009A90991BB82C41006EB7F28D61024180E3D506BFB82C4100AA7D8DC55F0241"
"5063260001.0","N",43920,"200","399","79800","58535.924764316","0106000020D7080000010000000103000000010000000C000000007372B09E722C410068B8B9086000410050E24D4F722C410070510BE76200418092758A86712C410052215C83610041008DC0AD1C702C4100144BC7015F0041007FB7036C702C4100D6F3EB235C00410097C89B12702C41000E4389855B004100693038F16F2C410034FE624A5B004100563FB98E6F2C41008205F875610041003AE07B92722C410028BF2DCD660041001EA060DC722C41005EE9F28F6400418069C58F4A732C41006E323539610041007372B09E722C410068B8B908600041"
"5070540410.0","N",27400,"14.42","254.25","3666.285","26768.2072093984","0106000020D7080000010000000103000000010000000B00000080F28366FB332C4100B840FA5C180141808E0C19EA322C41007AE2DCDD16014100BA30C818322C4100443372B8150141800262E011322C41005A5F0F26160141006F4A21D5322C410016325F2D1701418048AF27C0322C4100D6A1555F180141004BA5F6AA322C4100CE6174941901410002817896322C41004C665FBF1A01410005774781322C4100427A7DF41B0141004614E895332C41008C6189691D014180F28366FB332C4100B840FA5C180141"
"1022150079.0","N",67879,"547","170","92990","65046.3036598635","0106000020D7080000010000000103000000010000001B00000000C79E3B54C32E4100E2B88C7D880F41001A5B6B1AC32E4100AA7CF228860F41008FBC5ED3C52E410016117809820F41007BD32590C52E41000CDD2F437F0F4100893B9986C52E410012D4564F7F0F418073E01251C52E410012A6F0AD7F0F4100216E2D38C52E4100D04543D87F0F418077401414C52E4100727E0D0A800F4100E6480207C52E410084A7F81D800F4100E994B69AC42E4100CE4228E0800F4100CF1DA263C42E4100DAE5AB52810F4180670CC353C42E4100325A926B810F4100056D7245C42E4100F6DF807A810F4180441D9F39C42E41003A7F7B7F810F4180FD8ED623C42E410084227884810F4100032E2516C42E410084227884810F41808C1ADB10C42E4100F0403288810F4100EBF71DFFC32E41007638DA9F810F4100E4B5B58FC32E4100E6CC2E3F820F41807A63C95FC32E41003A286187820F4180DF4ECE01C32E4100C4773D1F830F4100E5750377C22E410002D5CFFC830F410013BA7746C22E4100DC6EF74E840F4180D1CAFD22C22E4100EC2A2F92840F4100C1C73291C12E4100FC017F78850F418009DC440BC22E41004CA34C6A8A0F4100C79E3B54C32E4100E2B88C7D880F41"
"3063700005.0","N",16452,"95","200","19000","16260.8405594781","0106000020D7080000010000000103000000010000000F00000080363A7D5D022E4100289F0EE87D03418052A4486D022E41000E3A59BC7D034100252C4939022E410092C435927C034180C86662FA012E41003AA58E297B03418001D2A586012E4100D8CDF791780341806B1F8733012E4100EC84627B79034180CD0A20C1002E4100E2E3A6BC7A034100D97A4A38012E4100AC6C92167D034180A53F5E9F012E4100AA8A61D07B0341805E22D1B6012E4100E41831527C034100183044CE012E4100225301D47C034100B47F6DE5012E410034B339547D03418099CAA9FC012E4100DA38DAD47D034180661B3F1F022E4100945D4E947E034180363A7D5D022E4100289F0EE87D0341"
"3070230045.0","N",21448,"165","186.85","30830.25","30290.4776318292","0106000020D70800000100000001030000000100000011000000803C071705312E4100A4C0E54D4402418017904A01302E4100347A38B343024100DC5CB107302E4100DE380C0143024180BBB47974302E41007263D04143024180F49000A9302E41007040166143024100806517C6302E4100D09F66374002418047B49091302E4100D2C22018400241806731C824302E41003CEC5BD73F024180CC0042F32F2E410028A2DFB93F02418089E2EEB52F2E4100E4A05C953F024100FE75F1472F2E41008C07E1533F0241009535391E2F2E410058F020DD43024180EA7E5D182F2E4100364F308044024100543A34F52F2E4100EADFAB034502418093D72DFA2F2E4100225030794402410098E8F1FD302E41007EE2D813450241803C071705312E4100A4C0E54D440241"
"3080607501.0","N",119128,"0","0","0","119127.97445254","0106000020D708000001000000010300000001000000060000000059B0F42BD82E410078B048D29A044100C9920BDFD72E41006A30CDCF990441800A5B0E4ED32E4100827E7C8FA4044100F142C35CD32E41006E79AA79A70441801137E798D42E41004E27F19FAB04410059B0F42BD82E410078B048D29A0441"
"4013430022.0","N",44951,"180","40","7200","44951.2909148379","0106000020D708000001000000010300000001000000140000008093F43989E42E41006A740C959A094100DBA7EDD1E42E410072D52203990941808F48E8CBE42E4100CEBAE17698094100FB2B87F2E42E4100901EE75A9809410089CA2F30E52E4100EE6FCEFD9609418054C4412CE52E410004EE06999609418079DB7B67E52E410066C99C72960941000C779E5FE52E410014D9ECA8950941808CA78B59E52E41008A1E300D95094180017D0B56E52E4100329B68B3940941003B99012DE52E4100A00F099790094180F9EBFCF8E42E41007E835176910941800A48BDCAE42E41005E7AF99291094100A47152D0E42E41003660202292094180A61C8A4DE42E41004AAF186C94094100FA2A6537E42E410026BB4FCF9409410098041D99E32E4100EE667E9497094180C8BABBD0E32E4100D4E943F39C094100DF400425E42E4100C47B09BF9C09418093F43989E42E41006A740C959A0941"
